dep_name,timestamp,cr_timestamp,time_window,container_name,cpu_use,mem_use
rest-6db8bbcfc6-hnxr5,2024-12-10T00:37:29Z,2024-12-10T00:37:35Z,12.283s,master,80531156n,28460Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:37:29Z,2024-12-10T00:37:35Z,12.282s,workerchar,90644520n,22132Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:37:29Z,2024-12-10T00:37:35Z,12.28s,workerdb,122140684n,26284Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:37:29Z,2024-12-10T00:37:35Z,12.281s,workerroll,57902n,20596Ki
cassdb01-cassandra-0,2024-12-10T00:37:29Z,2024-12-10T00:37:40Z,12.28s,cassandra,181213249n,1989572Ki
cassdb01-cassandra-1,2024-12-10T00:37:29Z,2024-12-10T00:37:40Z,12.281s,cassandra,310186263n,1741184Ki
cassdb01-cassandra-2,2024-12-10T00:37:29Z,2024-12-10T00:37:40Z,12.28s,cassandra,326852149n,1764996Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:37:29Z,2024-12-10T00:37:40Z,12.282s,rabbitmq,55774841n,162796Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:37:29Z,2024-12-10T00:37:40Z,12.283s,master,80531156n,28460Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:37:29Z,2024-12-10T00:37:40Z,12.282s,workerchar,90644520n,22132Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:37:29Z,2024-12-10T00:37:40Z,12.28s,workerdb,122140684n,26284Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:37:29Z,2024-12-10T00:37:40Z,12.281s,workerroll,57902n,20596Ki
cassdb01-cassandra-0,2024-12-10T00:37:44Z,2024-12-10T00:37:45Z,14.996s,cassandra,357425133n,1989612Ki
cassdb01-cassandra-1,2024-12-10T00:37:44Z,2024-12-10T00:37:45Z,14.994s,cassandra,246461017n,1741240Ki
cassdb01-cassandra-2,2024-12-10T00:37:44Z,2024-12-10T00:37:45Z,14.994s,cassandra,276717360n,1765004Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:37:44Z,2024-12-10T00:37:45Z,14.994s,rabbitmq,41424443n,164488Ki
rest-6db8bbcfc6-b7rll,2024-12-10T00:37:44Z,2024-12-10T00:37:45Z,14.995s,master,40885955n,29996Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:37:44Z,2024-12-10T00:37:45Z,14.994s,master,42824543n,28552Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:37:44Z,2024-12-10T00:37:45Z,14.994s,workerchar,73235180n,22140Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:37:44Z,2024-12-10T00:37:45Z,14.995s,workerdb,99892870n,26412Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:37:44Z,2024-12-10T00:37:45Z,14.995s,workerroll,0,20596Ki
cassdb01-cassandra-0,2024-12-10T00:37:44Z,2024-12-10T00:37:47Z,14.996s,cassandra,357425133n,1989612Ki
cassdb01-cassandra-1,2024-12-10T00:37:44Z,2024-12-10T00:37:47Z,14.994s,cassandra,246461017n,1741240Ki
cassdb01-cassandra-2,2024-12-10T00:37:44Z,2024-12-10T00:37:47Z,14.994s,cassandra,276717360n,1765004Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:37:44Z,2024-12-10T00:37:47Z,14.994s,rabbitmq,41424443n,164488Ki
rest-6db8bbcfc6-b7rll,2024-12-10T00:37:44Z,2024-12-10T00:37:47Z,14.995s,master,40885955n,29996Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:37:44Z,2024-12-10T00:37:47Z,14.994s,master,42824543n,28552Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:37:44Z,2024-12-10T00:37:47Z,14.994s,workerchar,73235180n,22140Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:37:44Z,2024-12-10T00:37:47Z,14.995s,workerdb,99892870n,26412Ki
workerroll-dbdf6dcd4-hzfdp,2024-12-10T00:37:44Z,2024-12-10T00:37:47Z,14.995s,workerroll,0,20596Ki
cassdb01-cassandra-0,2024-12-10T00:37:44Z,2024-12-10T00:37:52Z,14.996s,cassandra,357425133n,1989612Ki
cassdb01-cassandra-1,2024-12-10T00:37:44Z,2024-12-10T00:37:52Z,14.994s,cassandra,246461017n,1741240Ki
cassdb01-cassandra-2,2024-12-10T00:37:44Z,2024-12-10T00:37:52Z,14.994s,cassandra,276717360n,1765004Ki
rabbitmq-5b7c5c8594-plk7b,2024-12-10T00:37:44Z,2024-12-10T00:37:52Z,14.994s,rabbitmq,41424443n,164488Ki
rest-6db8bbcfc6-b7rll,2024-12-10T00:37:44Z,2024-12-10T00:37:52Z,14.995s,master,40885955n,29996Ki
rest-6db8bbcfc6-hnxr5,2024-12-10T00:37:44Z,2024-12-10T00:37:52Z,14.994s,master,42824543n,28552Ki
workerchar-67cfcffdf5-hbsbk,2024-12-10T00:37:44Z,2024-12-10T00:37:52Z,14.994s,workerchar,73235180n,22140Ki
workerdb-665c87bb99-d25hj,2024-12-10T00:37:44Z,2024-12-10T00:37:52Z,14.995s,workerdb,99892870n,26412Ki
